Elevation,Sex,SVL,Body Mass,CTmin,CTmax
2600m,M,6.6,11.33,4.6,46.2
2600m,M,6.1,8.81,5.3,46.5
2600m,M,6.2,9.6,4.5,46
2600m,F,5.9,8.34,5.2,45.1
2600m,F,6.2,7.39,5.1,46
2600m,F,4.3,2.7,3.5,46.3
2600m,M,6,8.06,3.4,45.7
2600m,M,5.9,7.21,3.7,45.8
2600m,M,5.7,6.39,3.7,46.2
2600m,F,5.3,4.5,4.6,44.4
2600m,F,4.6,2.92,4.6,45.7
2600m,F,4.4,2.37,5.3,45.4
2600m,M,6.2,8,5.1,46.3
2600m,M,6.2,7.46,3.7,46.1
2600m,F,4.6,3.3,7.7,45.4
2600m,M,5.8,6.85,5.1,45.5
2600m,F,5,3.74,6.4,45.8
2600m,F,5,4.03,6.1,45.7
2600m,M,5.1,4.24,4.9,45.6
2600m,M,4.9,4.76,5.8,45.2
2600m,F,4.7,3.51,3.4,45.2
2600m,F,5.6,4.97,4.6,46.9
2600m,F,4.2,3.02,4.5,45.3
2600m,M,4.6,3.65,4.1,45.1
3400m,M,5.6,6.29,3.2,45.8
3400m,M,5.9,7.18,6.1,46.4
3400m,M,5.4,5.69,2.5,45.4
3400m,M,5.4,6.01,5.6,45
3400m,M,5,4.34,4.2,46.8
3400m,F,4.7,3.45,6.8,44.7
3400m,F,5.1,5.01,6.8,44.7
3400m,F,5,4.85,7.6,46.1
3400m,F,4.4,3.04,6.5,44.8
3400m,F,4.9,4.49,3.9,44.6
3400m,M,5.1,5.09,4,45.8
3400m,M,6,6.29,4.3,46.6
3400m,M,5.4,6.05,1.7,46.1
3400m,F,4.5,3.56,4.1,44.3
3400m,M,4.6,3.38,5.1,47.1
3400m,M,4.4,2.75,4.2,45
3400m,F,4.5,2.45,4.8,45.4
3400m,F,4.1,2.26,5.8,44.8
3400m,F,4.3,2.43,3,44.5
3400m,F,5,5.65,4.3,44.7
4200m,M,5.3,6.32,3.6,46.7
4200m,M,5.7,8.15,3.9,46.9
4200m,M,5.3,5.34,6.1,46
4200m,F,5.1,6.3,4.2,46.1
4200m,M,5.6,6.27,3.4,44.8
4200m,M,6.2,8.27,2.6,46.6
4200m,F,5,4.88,4.3,45.4
4200m,F,4.6,3.7,4,46.1
4200m,F,4.1,2.84,5.2,45.7
4200m,F,4.4,3.26,4.8,46.1
4200m,M,5.9,7.48,3.5,46.4
4200m,M,5.1,4.53,3.8,45.1
4200m,M,6.6,3.66,4.2,45.8
4200m,M,4.3,2.79,3.5,46.1
4200m,F,4.4,3.22,3.4,46.2
4200m,M,4.5,3.72,2.3,46.9
4200m,F,4.3,2.87,2.9,43.6
4200m,F,4.3,2.72,3.9,45.4
4200m,F,4,2.27,4,46
4200m,F,3.8,2.25,4.4,46
