EWL,BM,Tb,wind speed (m/s)
0.004,8.255,25,0.00329
0.001,6.7105,25,0.00329
0.008,5.937,25,0.00329
0.001,5.9705,25,0.00329
0.019,6.9465,25,0.00329
0.002,5.712,25,0.00329
0.006,5.602,25,0.00329
0.001,4.5315,25,0.00329
0.076,7.975,30,0.00329
0.013,6.9235,30,0.00329
0.027,4.4585,30,0.00329
0.011,5.4585,30,0.00329
0.007,5.5035,30,0.00329
0.007,6.7605,30,0.00329
0.004,5.614,30,0.00329
0.012,5.68,30,0.00329
0.011,6.5605,30,0.00329
0.016,5.744,30,0.00329
0.028,5.624,35,0.00329
0.014,6.702,35,0.00329
0.012,7.846,35,0.00329
0.015,6.7885,35,0.00329
0.016,6.447,35,0.00329
0.009,5.3175,35,0.00329
0.001,5.4865,35,0.00329
0.013,5.5305,35,0.00329
0.004,5.404,35,0.00329
0.01,4.333,35,0.00329
0.077,6.5965,40,0.00329
0.08,6.411,40,0.00329
0.06,5.392,40,0.00329
0.028,5.37,40,0.00329
0.087,7.4075,40,0.00329
0.036,6.081,40,0.00329
0.023,4.1755,40,0.00329
0.035,5.2615,40,0.00329
0.042,5.068,40,0.00329
0.054,5.249,40,0.00329
