No.,Elevation,Sex,Tbody,BM,V_ml_g_h,V_ml_h
11,2600m,M,10,11.82,0.008274736,0.09780738
12,2600m,M,10,10.99,0.00615647,0.067659605
13,2600m,M,10,5.71,0.062748169,0.358292045
14,2600m,M,10,3.26,0.069289946,0.225885224
15,2600m,M,10,3.74,0.032515027,0.121606201
16,2600m,F,10,5.5,0.021295472,0.117125096
17,2600m,F,10,7.78,0.010503697,0.081718763
18,2600m,F,10,3.5,0.041046161,0.143661564
19,2600m,F,10,3.27,0.043829401,0.143322141
20,2600m,F,10,4.62,0.01409773,0.065131513
11,2600m,M,15,11.82,0.024488176,0.28945024
12,2600m,M,15,10.99,0.010758017,0.118230607
13,2600m,M,15,5.71,0.065567973,0.374393126
14,2600m,M,15,3.26,0.074880879,0.244111666
15,2600m,M,15,3.74,0.023689635,0.088599235
16,2600m,F,15,5.5,0.007625205,0.041938628
17,2600m,F,15,7.78,0.116075107,0.903064332
18,2600m,F,15,3.5,0.084392696,0.295374436
19,2600m,F,15,3.27,0.160173668,0.523767894
20,2600m,F,15,4.62,0.044228005,0.204333383
11,2600m,M,40,11.82,0.428881202,5.069375808
12,2600m,M,40,10.99,0.184929955,2.032380205
13,2600m,M,40,5.71,0.550781173,3.144960498
14,2600m,M,40,3.26,0.662558988,2.159942301
15,2600m,M,40,3.74,0.513049802,1.918806259
16,2600m,F,40,5.5,0.273242661,1.502834636
17,2600m,F,40,7.78,0.453393302,3.52739989
18,2600m,F,40,3.5,0.383929089,1.343751812
19,2600m,F,40,3.27,0.275658721,0.901404018
20,2600m,F,40,4.62,0.351346328,1.623220035
11,2600m,M,20,11.82,0.027173968,0.321196302
12,2600m,M,20,10.99,0.008645006,0.095008616
13,2600m,M,20,5.71,0.031907854,0.182193846
14,2600m,M,20,3.26,0.049367196,0.160937059
15,2600m,M,20,3.74,0.086947138,0.325182296
16,2600m,F,20,5.5,0.045415699,0.249786345
17,2600m,F,20,7.78,0.060563471,0.471183804
18,2600m,F,20,3.5,0.045296038,0.158536133
19,2600m,F,20,3.27,0.091040011,0.297700836
20,2600m,F,20,4.62,0.071298325,0.329398262
11,2600m,M,30,11.82,0.092236424,1.090234532
12,2600m,M,30,10.99,0.132500089,1.456175978
13,2600m,M,30,5.71,0.218766728,1.249158017
14,2600m,M,30,3.26,0.33377226,1.088097568
15,2600m,M,30,3.74,0.184769783,0.691038988
16,2600m,F,30,5.5,0.105080072,0.577940396
17,2600m,F,30,7.78,0.187890445,1.461787662
18,2600m,F,30,3.5,0.232861873,0.815016556
19,2600m,F,30,3.27,0.319331281,1.044213289
20,2600m,F,30,4.62,0.176538382,0.815607325
11,2600m,M,25,11.82,0.042706976,0.504796456
12,2600m,M,25,10.99,0.030308003,0.333084953
13,2600m,M,25,5.71,0.096495018,0.550986553
14,2600m,M,25,3.26,0.072712183,0.237041717
15,2600m,M,25,3.74,0.169581379,0.634234357
16,2600m,F,25,5.5,0.046265261,0.254458936
17,2600m,F,25,7.78,0.072005171,0.56020023
18,2600m,F,25,3.5,0.176990175,0.619465613
19,2600m,F,25,3.27,0.237737366,0.777401187
20,2600m,F,25,4.62,0.089257167,0.412368112
11,2600m,M,35,11.82,0.052177021,0.616732388
12,2600m,M,35,10.99,0.152999585,1.681465439
13,2600m,M,35,5.71,0.31827901,1.817373147
14,2600m,M,35,3.26,0.328713142,1.071604843
15,2600m,M,35,3.74,0.489605177,1.831123362
16,2600m,F,35,5.5,0.107880597,0.593343284
17,2600m,F,35,7.78,0.274578505,2.136220769
18,2600m,F,35,3.5,0.277069351,0.969742729
19,2600m,F,35,3.27,0.319583129,1.045036832
20,2600m,F,35,4.62,0.23956323,1.106782123
21,3400m,M,40,6.45,0.341308163,2.201437651
22,3400m,M,40,5.38,0.494899966,2.662561817
23,3400m,M,40,5.85,0.599072769,3.504575699
24,3400m,M,40,4.5,0.562542269,2.531440211
25,3400m,M,40,2.23,0.505813342,1.127963753
26,3400m,F,40,4.79,0.481721511,2.307446038
27,3400m,F,40,5.65,0.2625172,1.48322218
28,3400m,F,40,5.12,0.265554916,1.35964117
29,3400m,F,40,1.83,0.552540589,1.011149278
30,3400m,F,40,2.03,0.433197896,0.879391729
21,3400m,M,25,6.45,0.095928598,0.618739457
22,3400m,M,25,5.38,0.102406483,0.550946879
23,3400m,M,25,5.85,0.068901817,0.403075629
24,3400m,M,25,4.5,0.042905674,0.193075533
25,3400m,M,25,2.23,0.071679251,0.15984473
26,3400m,F,25,4.79,0.029186566,0.139803651
27,3400m,F,25,5.65,0.061903898,0.349757024
28,3400m,F,25,5.12,0.142366469,0.728916321
29,3400m,F,25,1.83,0.20996633,0.384238384
30,3400m,F,25,2.03,0.190315694,0.386340859
21,3400m,M,35,6.45,0.193137926,1.245739623
22,3400m,M,35,5.38,0.188006341,1.011474115
23,3400m,M,35,5.85,0.264839364,1.549310279
24,3400m,M,35,4.5,0.244467404,1.100103318
25,3400m,M,35,2.23,0.279959875,0.624310521
26,3400m,F,35,4.79,0.161796948,0.775007381
27,3400m,F,35,5.65,0.138385131,0.78187599
28,3400m,F,35,5.12,0.219925101,1.126016517
29,3400m,F,35,1.83,0.317184739,0.580448072
30,3400m,F,35,2.03,0.256658283,0.521016314
21,3400m,M,20,6.45,0.03664235,0.236343158
22,3400m,M,20,5.38,0.035751054,0.192340671
23,3400m,M,20,5.85,0.056725569,0.331844579
24,3400m,M,20,4.5,0.046131696,0.207592632
25,3400m,M,20,2.23,0.107012481,0.238637833
26,3400m,F,20,4.79,0.022591752,0.108214492
27,3400m,F,20,5.65,0.047173278,0.266529021
28,3400m,F,20,5.12,0.130411605,0.667707418
