Year,Date,Elevation,Time,Sex,SVL,Tbody,Gravid,Tsurface,Tair
2020,2020/7/14,2600m,8,F,4.6,20.6,NO,21.3,15.9
2020,2020/7/14,2600m,8,F,5.8,29.3,YES,20.6,17.9
2021,2021/7/24,2600m,8,F,6.7,37.4,YES,34.1,25.4
2021,2021/7/24,2600m,8,M,6.3,36.5,NO,28.3,24.9
2021,2021/7/24,2600m,8,M,5,34.9,NO,35.4,25.9
2021,2021/7/24,2600m,8,F,6.4,35.7,NO,29.9,24.2
2020,2020/7/14,2600m,9,M,4.5,21.5,NO,24.5,14.5
2020,2020/7/14,2600m,9,F,5.3,34.7,NO,26.5,21.5
2020,2020/7/14,2600m,9,M,5.9,35.9,NO,25.5,20.7
2020,2020/7/14,2600m,9,F,6.5,32,NO,23.6,19.8
2020,2020/7/14,2600m,9,F,5.2,32.5,YES,25.5,23.1
2020,2020/7/14,2600m,9,F,5.5,34.4,NO,35.3,21.2
2020,2020/7/14,2600m,9,F,3.7,30.4,NO,22.6,20.2
2020,2020/7/14,2600m,9,M,4.3,34.2,NO,23.3,20.6
2020,2020/7/14,2600m,9,F,3.3,34.5,NO,29.5,21.1
2020,2020/7/14,2600m,9,M,5.8,31.1,NO,25.8,21.8
2020,2020/7/14,2600m,9,F,5,34.3,NO,32.5,21.7
2020,2020/7/14,2600m,9,M,6.3,33.4,NO,29.3,20.6
2021,2021/7/24,2600m,9,M,6.5,33.8,NO,27.1,19.6
2021,2021/7/24,2600m,9,M,6.5,36,NO,35.5,24
2021,2021/7/24,2600m,9,F,6.7,37.4,NO,29.7,25.6
2021,2021/7/24,2600m,9,M,2.2,35.9,NO,28.9,25.3
2021,2021/7/24,2600m,9,F,4.8,40.5,NO,38,28
2021,2021/7/24,2600m,9,M,5.9,37.7,NO,34.2,28.7
2021,2021/7/24,2600m,9,M,7.1,37.8,NO,37.5,30.7
2021,2021/7/24,2600m,9,F,5.7,37.4,NO,32.9,27.3
2021,2021/7/24,2600m,9,F,6.8,38.5,NO,44.4,31.3
2021,2021/7/24,2600m,9,M,5.2,38.6,NO,38.4,27
2020,2020/7/12,2600m,10,F,5.1,32.5,NO,25.8,20.9
2020,2020/7/12,2600m,10,M,6.4,35.3,NO,26.3,21.9
2020,2020/7/12,2600m,10,F,6.2,33.7,NO,26.7,18.4
2020,2020/7/14,2600m,10,F,6.4,34.1,YES,31.7,22.1
2020,2020/7/14,2600m,10,M,4.6,33.4,NO,28.4,20.8
2020,2020/7/14,2600m,10,F,6.2,32.6,YES,27.3,19.5
2020,2020/7/14,2600m,10,F,5.6,27.7,YES,25.4,20.6
2020,2020/7/14,2600m,10,F,4.9,36.2,YES,34,21.9
2020,2020/7/14,2600m,10,M,4.8,36.8,NO,28.3,20.1
2020,2020/7/14,2600m,10,F,6.8,36.7,YES,41.5,23.3
2020,2020/7/14,2600m,10,F,6.2,36.3,YES,31.8,24.2
2021,2021/7/24,2600m,10,F,4.2,39.5,NO,49.1,28.1
2021,2021/7/24,2600m,10,F,5.1,39.3,NO,34.8,31.2
2021,2021/7/24,2600m,10,F,6.5,38.2,NO,34.6,25.8
2021,2021/7/24,2600m,10,M,6.2,38.1,NO,39,26.6
2021,2021/7/24,2600m,10,F,5.1,40.3,NO,46,33
2021,2021/7/24,2600m,10,M,6.6,38.2,NO,44.1,28.7
2021,2021/7/24,2600m,10,F,5.3,39.9,NO,40,25.8
2021,2021/7/24,2600m,10,F,5.9,36.6,YES,41.6,30
2020,2020/7/12,2600m,11,F,5.9,33.7,YES,28.5,20
2020,2020/7/12,2600m,11,M,5.8,34.2,NO,27,18.3
2020,2020/7/12,2600m,11,M,4.6,33.9,NO,29.1,18.4
2020,2020/7/12,2600m,11,F,5.4,37.2,NO,36,23.1
2020,2020/7/12,2600m,11,F,4.8,34,NO,18.8,19.5
2020,2020/7/12,2600m,11,F,4.5,35.8,NO,31.2,18.2
2020,2020/7/12,2600m,11,F,4.7,33.6,NO,34.8,21.5
2020,2020/7/12,2600m,11,M,5.1,34.4,NO,33.1,23.8
2021,2021/7/24,2600m,11,F,6.6,38.8,NO,40.9,26.2
2021,2021/7/24,2600m,11,M,6.7,38.3,NO,47.7,32.4
2021,2021/7/24,2600m,11,F,5.5,39.5,NO,47.3,30.8
2021,2021/7/24,2600m,11,F,4.5,38.1,NO,42,23.4
2021,2021/7/24,2600m,11,M,5.1,38.9,NO,52.7,30.7
2021,2021/7/24,2600m,11,M,4.9,38.2,NO,52.3,29.1
2021,2021/7/24,2600m,11,F,5.1,42.6,NO,57.8,26.5
2021,2021/7/30,2600m,11,F,6.2,37.8,NO,49,28.6
2021,2021/7/30,2600m,11,M,5.9,38.2,NO,50.2,24.6
2021,2021/7/30,2600m,11,F,5.7,37.2,YES,46.1,28.2
2021,2021/7/30,2600m,11,F,6.2,41.3,NO,46.2,32.6
2020,2020/7/12,2600m,12,M,5.2,32,NO,33.2,24.1
2020,2020/7/12,2600m,12,F,6.1,33,NO,31.8,19.1
2020,2020/7/12,2600m,12,M,6.2,34.1,NO,31.2,22.1
2020,2020/7/12,2600m,12,M,5.7,35.8,NO,31.7,18.7
2020,2020/7/12,2600m,12,F,4.6,34.7,NO,31.5,18.5
2020,2020/7/12,2600m,12,F,6.5,33,YES,35.7,20.1
2020,2020/7/12,2600m,12,F,5.9,33.6,YES,33.5,24.6
2020,2020/7/12,2600m,12,M,5.2,38.3,NO,33,17.6
2020,2020/7/12,2600m,12,M,4.1,35.7,NO,29,20.9
2020,2020/7/12,2600m,12,F,5.2,33.1,NO,30.8,17.5
2021,2021/7/24,2600m,12,F,5.3,38.2,NO,55.8,37.7
2021,2021/7/24,2600m,12,M,5.5,38.4,NO,57.2,23.1
2021,2021/7/24,2600m,12,F,5.9,38.5,YES,49.5,30.4
2021,2021/7/24,2600m,12,F,4.8,41.6,NO,57.2,36.5
2021,2021/7/30,2600m,12,M,5,42.3,NO,52.7,26.8
2021,2021/7/30,2600m,12,M,5.7,39.6,NO,51.6,30.4
2021,2021/7/30,2600m,12,M,6.3,39.8,NO,50.7,28.2
2021,2021/7/30,2600m,12,M,6.5,39.8,NO,44.6,29.8
2021,2021/7/30,2600m,12,M,6.8,39.3,NO,55.4,33.4
2020,2020/7/14,2600m,13,M,5.2,33.4,NO,34.9,25.2
2020,2020/7/14,2600m,13,F,6,34.1,YES,34.3,25.2
2020,2020/7/14,2600m,13,F,4.7,35.9,NO,38.9,27.8
2020,2020/7/14,2600m,13,M,6.2,38.3,NO,32.7,24
2020,2020/7/14,2600m,13,M,4.9,37.5,NO,32.7,24
2020,2020/7/14,2600m,13,F,6.3,37.3,YES,42.9,28.1
2020,2020/7/14,2600m,13,M,4.3,35,NO,45.2,25.5
2020,2020/7/14,2600m,13,F,5,37.7,YES,38.7,28
2020,2020/7/14,2600m,13,M,5.1,36.3,NO,29.4,23.6
2020,2020/7/14,2600m,13,M,4.6,36.7,NO,29.4,23.6
2020,2020/7/14,2600m,13,M,4.2,37.8,NO,44.3,27.4
2020,2020/7/14,2600m,13,F,4.4,36.9,NO,42.8,19.7
2020,2020/7/14,2600m,13,F,4.5,37.8,NO,36,22.5
2020,2020/7/14,2600m,13,F,5.6,39.5,NO,41.4,21.9
