Longitude,Latitude,Sources,Pop
100.55,36.23,Collected,Low
100.7111539,36.6663343,Collected,Low
100.824047,36.71292,Collected,Low
99.46,36.44,Collected,Low
90.296832,37.346131,Collected,High
94.750704,35.022142,Collected,High
98.596802,36.567013,Collected,High
99.1812,34.3104,Collected,High
100.00814,36.36355,Collected,Low
100.01867,36.6503,Collected,Low
100.0345,35.91789,Collected,Low
100.05,36.516667,Collected,Low
100.06871,36.08624,Collected,Low
100.13024,35.96003,Collected,Low
100.14559,36.34046,Collected,Low
100.15899,37.31397,Collected,Low
100.16232,36.02903,Collected,Low
100.22209,36.26327,Collected,Low
100.25779,36.01592,Collected,Low
100.26,36.23,Collected,Low
100.2845,36.35032,Collected,Low
100.30091,36.0333,Collected,Low
100.33526,36.26527,Collected,Low
100.3679827,36.07652219,Collected,Low
100.40946,36.10402,Collected,Low
100.41498,36.29575,Collected,Low
100.53485,36.20682,Collected,Low
100.54564,36.30566,Collected,Low
100.55,36.23,Collected,Low
100.55337,37.18976,Collected,Low
100.63975,37.0103,Collected,Low
100.7325668,36.76787183,Collected,Low
100.73343,36.55759,Collected,Low
100.7370628,36.60714425,Collected,Low
100.74776,36.198,Collected,Low
100.756623,36.82031782,Collected,Low
100.7763758,36.70664875,Collected,Low
100.80575,36.65764,Collected,Low
100.8174738,36.77389813,Collected,Low
100.84207,36.83891,Collected,Low
100.92765,36.15008,Collected,Low
100.933333,36.433333,Collected,Low
101.08978,36.27295,Collected,Low
101.1055,35.50655,Collected,Low
101.13223,35.7917,Collected,Low
101.15,36.483333,Collected,Low
101.250842,37.214255,Collected,Low
101.32405,35.91614,Collected,Low
101.46884,36.08161,Collected,Low
101.57399,36.15355,Collected,Low
101.766667,36.616667,Collected,Low
101.816667,36.566667,Collected,Low
102.083333,33.95,Collected,Low
102.12673,33.89865,Collected,Low
102.8,37.2,Collected,Low
102.94,37.13,Collected,Low
102.99005,37.11158,Collected,Low
90.15,38.35,Collected,Low
93.041738,39.319711,Collected,Low
93.16,36.92,Collected,Low
93.36,38.74,Collected,Low
93.89908,38.89919,Collected,Low
94.2,39.4,Collected,Low
94.28142,39.41941,Collected,Low
94.28412715,39.32861245,Collected,Low
94.96739,36.387,Collected,Low
94.972,36.53059,Collected,Low
94.99469,38.046916,Collected,Low
95.00228,36.56934,Collected,Low
95.01044,36.58434,Collected,Low
95.03472,36.61631,Collected,Low
95.047,36.35925,Collected,Low
95.05228,36.63562,Collected,Low
95.07,36.4,Collected,Low
95.07748,36.67026,Collected,Low
95.26437,36.32434,Collected,Low
95.333333,36.383333,Collected,Low
95.36497,36.33952,Collected,Low
95.45422,36.35709,Collected,Low
95.61159,36.37288,Collected,Low
95.74513,36.38054,Collected,Low
95.79305,36.37277,Collected,Low
95.98775,36.38325,Collected,Low
96.13561,36.38324,Collected,Low
96.19838,36.37457,Collected,Low
96.2617,36.37812,Collected,Low
96.262048,38.939418,Collected,Low
96.40668,36.38136,Collected,Low
96.45,36.38,Collected,Low
96.92566,37.314862,Collected,Low
96.945998,36.730729,Collected,Low
97.4,37.22,Collected,Low
97.415,37.361944,Collected,Low
97.583333,37.15,Collected,Low
97.88,36.01,Collected,Low
97.95179,36.01934,Collected,Low
98.08,36.3,Collected,Low
98.11,36.23,Collected,Low
98.2,36.366667,Collected,Low
98.47,36.93,Collected,Low
99.08,36.8,Collected,Low
99.37298,36.65243,Collected,Low
99.46,36.44,Collected,Low
99.64797,36.36917,Collected,Low
99.70199,36.31429,Collected,Low
99.83822,36.32911,Collected,Low
100.8856959,36.61099839,Collected,High
90.296832,37.346131,Collected,High
90.478528,37.18642,Collected,High
92.933333,34.866667,Collected,High
94.750704,35.022142,Collected,High
95.42,37.85,Collected,High
96.294045,39.11571,Collected,High
96.426798,39.184088,Collected,High
98.11,34.75,Collected,High
98.116667,34.6,Collected,High
98.130508,34.605831,Collected,High
98.233333,34.783333,Collected,High
98.596802,36.567013,Collected,High
98.97128,35.20496,Collected,High
99.1812,34.3104,Collected,High
99.65482491,35.90316755,Collected,High
99.87933,35.80006,Collected,High
100.67,36.921,Recorded,Low
100.696,36.083,Recorded,Low
100.699,36.933,Recorded,Low
100.707,36.151,Recorded,Low
100.999,37.083,Recorded,Low
100.848,36.631,Collected,High
100.865,36.682,Collected,High
100.869,36.654,Collected,High
101.051,35.295,Collected,High
101.105,35.289,Collected,High
94.095,35.859,Recorded,High
98.141,34.761,Recorded,High
98.186,34.737,Recorded,High
